,,Current State,,,,Flip-Flop Inputs (Outputs),,,,Encoded Outputs (CK display),,,,,,
EN0,EN1,QA,QB,QC,QD,DA,DB,DC,DD,a,b,c,d,e,f,g
0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1
0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0
0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1
0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0
0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1
0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1
0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0
0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1
0,0,1,0,1,1,x,x,x,x,x,x,x,x,x,x,x
0,0,1,1,0,0,x,x,x,x,x,x,x,x,x,x,x
0,0,1,1,0,1,x,x,x,x,x,x,x,x,x,x,x
0,0,1,1,1,0,x,x,x,x,x,x,x,x,x,x,x
0,0,1,1,1,1,x,x,x,x,x,x,x,x,x,x,x
0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1
0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0
0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1
0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0
0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1
0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0
0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1
0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1
0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1
0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0
0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1
0,1,1,0,1,1,x,x,x,x,x,x,x,x,x,x,x
0,1,1,1,0,0,x,x,x,x,x,x,x,x,x,x,x
0,1,1,1,0,1,x,x,x,x,x,x,x,x,x,x,x
0,1,1,1,1,0,x,x,x,x,x,x,x,x,x,x,x
0,1,1,1,1,1,x,x,x,x,x,x,x,x,x,x,x
1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1
1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0
1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0
1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0
1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1
1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1
1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0
1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1
1,0,1,0,1,1,x,x,x,x,x,x,x,x,x,x,x
1,0,1,1,0,0,x,x,x,x,x,x,x,x,x,x,x
1,0,1,1,0,1,x,x,x,x,x,x,x,x,x,x,x
1,0,1,1,1,0,x,x,x,x,x,x,x,x,x,x,x
1,0,1,1,1,1,x,x,x,x,x,x,x,x,x,x,x
1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1
1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0
1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1
1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0
1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1
1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0
1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1
1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1
1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1
1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0
1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1
1,1,1,0,1,1,x,x,x,x,x,x,x,x,x,x,x
1,1,1,1,0,0,x,x,x,x,x,x,x,x,x,x,x
1,1,1,1,0,1,x,x,x,x,x,x,x,x,x,x,x
1,1,1,1,1,0,x,x,x,x,x,x,x,x,x,x,x
1,1,1,1,1,1,x,x,x,x,x,x,x,x,x,x,x